,index,"(2020, <Office.PRES: 'Presidential'>, <Party.REP: 'Republican'>)","(2020, <Office.PRES: 'Presidential'>, <Party.DEM: 'Democratic'>)",G20PRELJOR,C20PRERTRU,C20PREDBID,C20PRELJOR,G20USSRPER,G20USSDOSS,G20USSLHAZ,S20USSRLOE,S20USSRCOL,S20USSRGRA,S20USSRJAC,S20USSRTAY,S20USSRJOH,S20USSDWAR,S20USSDJAC,S20USSDLIE,S20USSDJOH,S20USSDJAM,S20USSDSLA,S20USSDWIN,S20USSDTAR,S20USSLSLO,S20USSGFOR,S20USSIBUC,S20USSIBAR,S20USSISTO,S20USSIGRE,G20PSCRSHA,G20PSCDBRY,G20PSCLMEL,G20PSCRMCD,G20PSCDBLA,G20PSCLWIL,R21USSRPER,R21USSDOSS,R21USSRLOE,R21USSDWAR,R21PSCRMCD,R21PSCDBLA,RacialDemographic.TOTAL,RacialDemographic.HISPA,RacialDemographic.WHITE,RacialDemographic.BLACK,RacialDemographic.NATIV,RacialDemographic.ASIAN,RacialDemographic.HAWAI,RacialDemographic.OTHER,"(2016, <Office.PRES: 'Presidential'>, <Party.DEM: 'Democratic'>)","(2016, <Office.PRES: 'Presidential'>, <Party.REP: 'Republican'>)",area,perimeter
1,2220341.039076723,251728,107343,4764,251506,107241,4768,247583,103216,9516,137120,89357,5488,4473,4479,3718,68478,14119,7914,4653,4407,2140,1402,838,3055,1094,1354,1055,795,1323,245245,96437,13435,242001,97948,12055,217091,97103,215992,98165,217247,93739,775683.580507347,66728.84655801147,545389.5490714215,116312.71614676692,1697.1590113954255,9413.552877833165,286.68746740747673,32168.36333871047,74051.02673528266,205996.61777617683,0.8752242441158449,9.12746820068691
2,1135076.935483989,94940,231230,3588,94928,231175,3589,93597,225948,7361,51824,32218,2362,2141,1442,1644,157027,31664,9427,11065,9447,4139,2654,1304,1852,1018,1123,1033,923,821,93041,218740,11934,91877,219727,9350,82272,218395,81189,219520,83485,214550,770368.8466978156,121982.60654881451,195974.8225344109,370169.03322133474,1356.8130149696358,49852.69504835026,378.84138350768825,25746.976694203397,182031.01600311624,82695.25711757645,0.21813412757751666,6.092880334428617
3,2331253.710878615,173665,182662,4263,173607,182593,4262,173745,175018,7813,95286,65764,3117,2795,2236,2482,114651,23746,7700,7063,8091,2996,2497,9579,2143,944,1176,1029,722,897,172278,168341,11100,170356,168707,9368,155917,166364,155333,167080,157248,161142,777679.9318382174,38784.192039430854,363763.59424341726,324483.4412914022,1628.94770041673,16220.931644863906,811.1832668533416,28939.97354770822,147826.52456246482,151717.72969859903,1.6361157807745108,12.52278847084498
4,1929247.9971523308,195837,180006,6376,195819,179906,6388,197286,171080,10635,112706,69254,3585,3759,2734,2241,117081,23095,11248,7070,6752,3522,1887,1297,3931,1478,1553,1166,1090,1030,196493,160114,17629,194558,162104,15032,179942,162130,177553,164496,182260,156195,756433.5839531069,113992.55109617981,419625.10892619437,154379.60805017737,1351.1624919755172,27806.445185231376,304.4995579152354,33186.855633657906,125600.55157603051,170538.395977042,0.20431285404358238,7.04708451354719
5,1985912.1693614756,264976,101599,4800,264985,101452,4795,263405,94958,9387,124907,119139,5511,4645,3455,3707,56098,15085,10494,3945,3023,2149,1483,1120,3222,1235,1399,1057,824,1265,260913,86219,13656,257450,87416,12644,239960,89515,238431,90931,241279,84499,752332.5342499056,90396.43478878886,545029.6989711332,26231.85558751531,1636.4805176155721,58133.76143322715,265.21624052175684,27769.00972517977,64064.86397170293,213781.49833657607,0.7981718554793958,11.069476763103166
6,1238496.838063054,79876,289886,3704,79937,289934,3716,78724,283369,7701,42898,27792,1840,1845,1198,1211,208360,35598,9812,11309,11079,5004,2814,1430,1697,1031,1049,979,2026,760,78626,275389,12244,77293,276688,9559,69219,275574,68154,276757,70646,270698,779672.1631777736,71109.92106295963,178115.7640541537,470971.4540750611,1397.282161926528,27152.69565478302,295.37636173004086,25681.646593548903,230162.06280247896,72551.31686637673,0.1555497837575675,3.6712717644712844
7,2504295.656891924,97628,261809,4863,97606,261610,4892,103310,249717,8364,59996,34185,1729,2200,1279,1196,182578,28511,12856,9448,9359,4542,2380,1621,2459,1355,1303,1069,1270,908,104325,237250,14794,103099,239393,11842,97626,240809,94717,243700,100243,234265,751033.5163252904,66454.23199837908,268424.677270149,345214.16838265787,1228.6037647048538,36310.91233357633,268.8931559311282,27609.882122158542,208888.78169675072,87046.89462727934,0.07654494673993756,3.716409197282111
8,2365265.338206531,166354,164599,3301,166403,164537,3301,166172,157978,6341,82496,70163,3554,2640,2466,2261,105671,23920,8022,7404,6679,2886,2256,1667,1752,746,1149,1106,678,906,163810,151944,9286,161538,152971,7604,147593,150258,147261,150711,148203,145972,773996.0754490645,46998.565752823684,352662.5794894109,329240.04569269926,1619.2847046526965,13862.056001807678,838.2563509113404,26034.037389183057,137552.47543753518,147216.27030140097,2.435406074185997,13.513298592080512
9,2443482.287250378,212175,88075,2568,212278,88048,2574,209802,83569,5481,96640,89783,5020,3072,8142,3497,45666,16870,5798,5418,4789,2072,1283,1147,1443,644,1229,955,471,803,206689,78956,7220,202315,79937,6301,186393,78155,186240,78413,185623,75369,751813.6183289747,62971.77101706571,453765.3108027565,204052.85765105838,1499.451682671137,6386.243320768309,270.5250935382453,20847.756338314037,73194.0,181104.0,3.8678483002169823,15.873360384948688
10,2021835.3553141684,196752,182472,4226,196849,182769,4231,195369,176696,8124,106575,74223,3704,3092,2497,2493,126566,23155,7923,7661,7393,3228,1998,1050,2347,903,1144,973,933,763,193925,169395,12540,191610,170874,10250,174986,170643,173687,171984,176334,166180,771498.1845219432,48026.41747986135,381359.75637980783,295385.31839144847,1453.2751317126426,13806.146064628494,326.95536626242944,27218.434386891142,138695.62284343826,167496.6168437129,0.9762901406323232,8.821660873525607
11,1059525.048020683,174455,176441,4931,174461,176525,4931,173378,170389,9518,86591,70161,4428,3758,2409,3085,104353,26599,11686,11574,7149,3617,2304,1268,2900,1217,1300,1117,983,1032,171946,161362,14670,170549,163046,12263,153122,161697,151575,163156,154943,156919,768572.0106843713,155160.32454192918,322504.8083918527,186693.38334428708,1236.2966386832384,70135.34164426546,296.26255394892803,27673.226154099528,117542.96801400442,151479.8590708846,0.1511004094209027,3.593424507426679
12,2528219.3835417363,179447,153277,4848,179443,153282,4848,177485,147967,8194,92934,66315,4836,3889,3639,3887,95722,22051,9299,7353,6048,3099,1515,1454,2720,1112,1593,1233,925,1020,176844,139286,12431,174519,140072,10549,160084,139182,159789,139471,161062,134659,772081.1944408619,56455.09992018928,430863.3633859401,229089.34779098068,1848.6484732274916,17339.191987258702,1250.1714050562691,31805.168354550548,118064.0,146833.0,1.7898576230089995,12.488625986603147
13,2153998.821984074,240347,116699,4595,240353,116697,4597,239588,110715,8457,102094,124139,3821,3040,2599,2679,74882,15450,7222,4593,3778,1903,2046,894,2694,996,1105,842,724,783,236740,103946,12371,235110,104545,10910,215496,105521,214207,106767,216768,100866,756846.0145305899,74233.30923133293,520804.7217511547,115695.85899930862,1431.6315071842243,15536.335241042658,240.12527771393437,25715.72391165103,88816.99999097527,191378.99998431318,1.546551849485627,12.115638206033841
14,1800784.4187743173,133657,238409,5311,133679,237864,5337,143173,223899,8147,81147,47961,2597,2986,1774,2075,159902,24255,16620,8211,6412,3648,2168,1664,3216,1520,1477,1026,954,982,144306,207946,15701,142973,209541,13469,135278,214577,131713,217962,139348,205909,753896.7452947379,110162.72796423365,383872.2447281972,110199.911375302,989.9631988643071,113723.6915623635,268.00651870218536,29735.945810143447,171472.10636622002,119267.54340006188,0.06292786014526945,3.089175315708344
